,PC1,PC2,PC3,PC4,PC5
6. HIV AIDS Epidem::c5,0.00459978780925326,0.08752906748830215,0.12586831972914297,0.06892314414659806,0.05100238050421941
6. HIV AIDS Epidem::c6,-0.007683375990781205,0.11495718706404041,0.10484496041683179,0.01668451672810136,0.08248511267800421
6. HIV AIDS Epidem::c7,0.008616220426412862,0.12804539950820332,0.13067884429632404,0.04272746508948097,0.04835650129741445
6. HIV AIDS Epidem::c8,0.009045814827695614,0.12777143681851913,0.13200772308283074,0.045075319353822196,0.05128891114100713
6. HIV AIDS Epidem::c9,0.00813491794637745,0.12801281899873576,0.12893511481313785,0.040239565823742045,0.04517550794995456
6. HIV AIDS Epidem::c10,-0.043127090273513746,0.10091100091802187,-0.03692493355553781,0.10044618992891588,0.0874170998868963
6. HIV AIDS Epidem::c11,-0.03454804074617029,0.11289579104804899,-0.042166740825428754,0.11604013517240087,0.06397511763752443
6. HIV AIDS Epidem::c12,-0.031778440101332635,0.11458031029174497,-0.048230268222241184,0.11728987654053138,0.061572999120194975
6. HIV AIDS Epidem::c13,-0.03032770538604925,0.1163763856951217,-0.05572194429286419,0.12147395494460313,0.05881404149685915
7. HIV AIDS Interv::c2,0.0035978992570753535,0.1286635096851784,0.04254333074174755,-0.034192224407804006,-0.09191906785257686
7. HIV AIDS Interv::c3,0.02423886868936172,0.10859621177921332,-0.017681170037462633,0.0945308434143406,-0.10789391252030325
7. HIV AIDS Interv::c4,0.03417343042515253,0.10783188293338727,-0.0006897558351955565,0.06024284075803549,-0.09515145264773897
7. HIV AIDS Interv::c5,0.0036802074149186953,0.14199430536908497,0.0009933939145800913,0.0690984852456754,-0.020826056972175842
7. HIV AIDS Interv::c7,0.014480869238506631,0.15479636083140969,-0.009503192809523714,0.06321985926983796,0.015249897870541368
7. HIV AIDS Interv::c15,0.00911667449683573,0.16107255618573207,0.062242858981264554,0.0828805656919083,0.010150809036819867
8. Nutrition newbo::c2,-0.0375259864182855,-0.019878761550422456,0.08899966180274482,-0.13178312863613453,-0.031105912587250522
8. Nutrition newbo::c4,0.08907367952859531,0.06073725082637936,-0.009546572426835973,-0.016732767657696882,-0.003036532868260751
8. Nutrition newbo::c6,-0.0806883553289906,0.04671329695664674,-0.01685004050119215,0.038514236618950974,-0.022961267729566786
8. Nutrition newbo::c8,-0.05338659112596027,-0.07944541750520635,0.07858181656673333,0.060014035695661196,-0.01727886497736599
8. Nutrition newbo::c10,-0.053612379636352146,-0.0990167242865852,0.0324981498295518,0.023483038936528765,-0.02622767482007886
8. Nutrition newbo::c12,0.07199423600607137,-0.013645826746637278,0.02561445877066074,0.026616245728788485,0.02010165830191093
8. Nutrition newbo::c14,-0.05445064291119412,0.05929371500510084,-0.05384812843448147,0.057325711486832055,-0.042899565314739214
8. Nutrition newbo::c16,-0.044731125864442896,-0.04560559163667341,-0.05218372346693806,0.011757784419974278,-0.005390861599278236
8. Nutrition newbo::c18,0.0720528610669195,-0.09435895520711336,-0.009770743547168347,-0.0006106903248737967,0.02372952891426076
8. Nutrition newbo::c20,-0.06791568982364186,-0.021483097476379654,-0.009292694275153425,0.04792480877113573,-0.09334874529271162
8. Nutrition newbo::c22,-0.04494707158157388,-0.0206333536454362,0.006313441405630784,-0.12378441769831833,0.022095189466727495
8. Nutrition newbo::c24,0.026944060945385744,0.0960521655931977,-0.08453462387915418,0.06137207077471934,0.006661668392758999
9. Nutrition breas::c2,-0.031584991942254864,0.08091420220588649,0.0005946110059626037,0.06318406107505942,-0.07518095300993435
9. Nutrition breas::c4,-0.019124754030362998,0.09196783849147001,-0.03388833433092906,0.07587265941625952,-0.10051481966501088
9. Nutrition breas::c6,0.05502095386330299,0.07956471083100898,-0.026404349737816114,0.03215045307521678,0.018788334559312034
9. Nutrition breas::c8,-0.06867746343707247,0.028028152382681366,-0.08658990368635755,0.00936486699956002,-0.10853734877142485
9. Nutrition breas::c10,-0.06926613511767778,0.049861950285986285,-0.09088791886001742,-0.0073480500408991635,-0.08644284800479007
